task_complexity,estimated_hours,team_size,priority,delay
3,36,4,1,0
5,36,2,1,1
5,38,2,2,1
3,28,5,1,0
4,4,6,1,0
4,29,3,1,1
3,16,1,1,0
2,35,6,2,0
4,9,1,2,1
3,3,2,2,0
1,12,6,2,0
4,13,4,2,0
5,12,2,3,1
2,5,2,1,0
1,18,3,3,0
5,29,3,1,1
3,28,6,1,0
5,37,4,1,1
3,26,4,3,0
2,5,1,1,0
3,29,3,2,0
1,20,2,2,0
2,17,4,1,0
2,11,5,1,0
3,3,2,3,0
5,33,2,2,1
5,5,4,2,0
1,16,6,3,0
4,33,3,2,1
1,31,6,1,0
5,10,5,2,0
1,9,6,1,0
1,6,4,3,0
5,27,3,1,1
1,26,3,3,0
1,18,5,1,0
1,31,2,2,0
1,17,6,2,0
5,29,4,3,1
4,40,6,1,1
3,24,6,3,0
1,19,2,2,0
3,2,4,3,0
5,32,3,1,1
5,1,2,2,1
3,14,2,2,0
3,25,4,3,0
1,5,4,2,0
1,2,6,3,0
1,15,5,2,0
5,6,4,2,0
1,6,6,2,0
3,14,4,1,0
1,19,3,1,0
5,7,1,1,1
2,34,4,2,0
3,2,5,2,0
3,34,1,3,0
3,18,1,2,0
2,4,1,2,0
5,21,1,2,1
4,38,5,2,1
4,30,2,1,1
4,34,1,2,1
3,20,3,2,0
4,27,2,3,1
3,20,5,2,0
4,12,5,3,0
4,7,3,3,0
2,29,1,1,0
5,34,6,3,1
3,28,6,2,0
2,17,6,1,0
5,40,6,2,1
5,5,3,1,0
4,26,4,1,1
4,11,5,3,0
1,7,3,3,0
2,25,6,1,0
5,33,5,2,1
5,13,2,1,1
1,13,4,1,0
5,28,1,1,1
5,17,5,2,0
5,17,3,2,0
1,20,1,2,0
5,10,5,2,0
3,22,1,3,0
4,16,2,3,1
3,12,4,3,0
1,4,4,1,0
3,1,2,1,0
4,33,1,1,1
4,18,1,1,1
5,11,1,3,1
4,15,4,2,0
2,21,6,1,0
4,10,3,2,0
1,13,6,3,0
4,31,4,2,1
4,10,2,2,1
3,39,5,1,0
4,26,6,2,1
1,21,2,1,0
4,12,6,2,0
4,17,4,1,0
1,20,1,2,0
3,26,2,3,0
2,15,5,1,0
5,18,6,1,0
2,25,5,1,0
5,39,1,2,1
1,11,6,1,0
4,12,3,2,0
4,10,3,1,0
1,32,5,1,0
1,23,1,1,0
4,11,3,1,0
1,37,3,2,0
1,6,3,3,0
3,26,4,2,0
5,6,6,1,0
4,15,2,2,1
2,16,6,1,0
3,21,5,2,0
3,34,3,1,0
4,13,1,3,1
4,2,6,2,0
3,14,1,3,0
5,8,2,2,1
5,16,5,1,0
4,18,2,2,1
1,26,6,2,0
4,17,2,2,1
2,38,1,3,0
3,30,2,2,0
1,13,1,2,0
5,39,4,1,1
2,31,4,2,0
2,27,3,1,0
2,8,6,3,0
2,29,3,2,0
2,15,6,1,0
2,34,4,2,0
4,19,4,2,0
4,37,4,1,1
1,11,4,2,0
2,20,1,3,0
2,26,3,2,0
3,30,2,1,0
1,32,6,1,0
2,34,1,3,0
3,28,3,3,0
3,38,6,1,0
3,21,1,2,0
4,19,6,2,0
3,10,6,3,0
5,30,1,2,1
2,9,2,3,0
4,38,3,2,1
5,20,5,1,0
4,35,5,3,1
2,1,5,3,0
3,27,5,2,0
4,18,1,3,1
5,40,6,2,1
4,22,3,3,1
2,32,5,1,0
2,5,2,2,0
4,36,5,2,1
3,17,2,3,0
2,12,6,2,0
5,20,3,1,0
3,11,6,1,0
1,14,2,2,0
5,20,3,1,0
4,15,4,2,0
4,24,5,1,1
3,22,4,2,0
2,35,5,3,0
3,34,4,2,0
3,14,1,1,0
5,18,3,3,0
5,34,4,2,1
5,38,2,2,1
4,4,2,1,1
5,20,1,3,1
4,29,3,1,1
1,9,4,2,0
5,27,1,1,1
4,18,4,2,0
5,28,5,1,1
4,8,4,2,0
3,36,3,3,0
4,33,4,2,1
5,25,5,1,1
4,10,4,1,0
3,14,6,2,0
5,40,3,2,1
4,17,4,2,0
5,4,3,2,0
4,32,4,3,1
2,23,2,3,0
2,1,5,3,0
2,3,1,1,0
4,27,6,1,1
3,4,3,2,0
5,7,1,2,1
2,27,5,3,0
2,15,5,3,0
1,10,6,1,0
2,5,6,3,0
4,40,1,2,1
2,35,5,3,0
1,23,1,2,0
4,3,6,3,0
1,26,2,1,0
3,7,6,1,0
1,17,1,2,0
1,25,3,3,0
2,25,5,2,0
1,17,6,3,0
1,5,4,2,0
5,10,4,1,0
1,1,5,1,0
4,3,5,2,0
5,9,4,2,0
2,10,5,1,0
2,40,3,3,0
2,8,4,2,0
4,22,5,2,1
3,34,3,1,0
4,24,3,1,1
3,24,2,3,0
1,13,3,2,0
4,34,3,3,1
2,26,5,3,0
5,22,3,1,1
5,12,4,2,0
4,6,4,1,0
1,31,3,1,0
4,25,6,3,1
5,3,4,3,0
2,36,3,1,0
5,10,2,2,1
3,36,6,2,0
3,5,6,3,0
1,15,5,3,0
1,13,6,1,0
3,11,6,2,0
2,7,4,3,0
4,29,4,1,1
2,31,6,2,0
2,11,3,2,0
4,21,2,3,1
3,11,5,3,0
3,26,2,1,0
1,20,4,2,0
